121,7,203.78,294.91
122,1,0.0,0.0
122,2,24.83,34.89
122,3,123.67,97.6
122,4,650.42,362.75
122,5,9392.33,4424.85
122,6,22284.08,7140.25
122,7,4095.08,1223.75
123,1,0.0,0.0
123,2,2.95,5.17
123,3,83.0,76.19
123,4,248.58,208.29
123,5,643.63,809.18
123,6,858.21,1019.54
123,7,230.32,358.16
124,1,0.0,0.0
124,2,1.38,3.71
124,3,61.38,83.14
124,4,174.9,207.48
124,5,846.62,1662.92
124,6,2453.03,2485.54
124,7,565.24,711.79
125,1,0.0,0.0
125,2,0.0,0.0
125,3,0.12,0.44
125,4,7.79,17.83
125,5,58.17,155.16
125,6,103.25,126.95
125,7,33.21,59.53
126,1,0.0,0.0
126,2,10.49,44.7
126,3,106.84,309.78
126,4,107.69,246.53
126,5,356.27,632.1
126,6,623.96,1032.85
126,7,153.8,247.78
127,1,0.0,0.0
127,2,3.97,6.8
127,3,90.32,50.29
127,4,164.7,88.69
127,5,1094.78,1251.0
127,6,2242.76,1907.65
127,7,241.19,204.43
128,1,0.0,0.0
128,2,34.16,146.76
128,3,384.16,1588.83
128,4,489.97,1588.7
128,5,896.06,1655.73
128,6,1088.31,1580.35
128,7,204.12,294.73
129,1,2.88,16.28
129,2,41.09,171.96
129,3,600.06,2370.64
129,4,2280.0,7653.64
129,5,5598.76,10050.98
129,6,6672.15,11566.07
129,7,1200.21,2359.95
130,1,0.0,0.0
130,2,4.0,6.78
130,3,90.22,50.39
130,4,165.35,88.02
130,5,1096.51,1250.12
130,6,2285.57,1892.15
130,7,255.0,210.84
131,1,0.0,0.0
131,2,10.47,44.71
131,3,106.96,309.74
131,4,107.29,246.67
131,5,356.27,632.1
131,6,628.02,1031.31
131,7,154.24,247.61
132,1,0,0
132,2,0,0
132,3,0,0
132,4,0,0
132,5,0,0
132,6,0,0
132,7,0,0
133,1,0.0,0.0
133,2,4.57,12.97
133,3,78.99,76.36
133,4,207.32,274.89
133,5,833.86,1028.15
133,6,1948.11,2595.82
133,7,393.43,544.65
134,1,0.0,0.0
134,2,3.84,6.8
134,3,89.62,50.8
134,4,162.81,89.59
134,5,1088.92,1253.3
134,6,2259.41,1905.98
134,7,250.68,212.55
135,1,0.0,0.0
135,2,69.06,279.96
135,3,1639.82,5680.02
135,4,3036.74,8007.62
135,5,7014.12,15127.48
135,6,10613.74,16151.95
135,7,2638.94,3700.54
136,1,0.0,0.0
136,2,4.57,12.97
136,3,77.73,76.57
136,4,206.14,275.27
136,5,825.01,1030.2
136,6,1930.0,2599.14
136,7,389.42,544.7
137,1,0.0,0.0
137,2,4.57,12.97
137,3,78.07,76.66
137,4,206.51,275.19
137,5,827.5,1030.2
137,6,1929.03,2599.05
137,7,393.05,544.75
138,1,0.0,0.0
138,2,1.97,4.24
138,3,89.83,86.45
138,4,410.24,771.57
138,5,3702.83,9029.94
138,6,7371.48,12927.93
138,7,1591.1,2736.54
139,1,0.0,0.0
139,2,0.5,1.12
139,3,69.5,74.82
139,4,158.92,127.91
139,5,356.92,414.62
139,6,1039.33,1073.42
139,7,342.0,306.22
140,1,0.0,0.0
140,2,4.57,12.97
140,3,78.88,76.44
140,4,205.31,275.31
140,5,832.59,1028.79
140,6,1955.12,2591.99
140,7,395.76,543.61
141,1,0.0,0.0
141,2,4.57,12.97
141,3,78.22,76.67
141,4,207.81,274.62
141,5,832.2,1028.97
141,6,1937.58,2598.9
141,7,394.12,544.42
142,1,0.0,0.0
142,2,10.49,44.7
142,3,107.04,309.72
142,4,107.55,246.58
142,5,355.08,632.63
142,6,627.47,1031.56
142,7,154.02,247.7
143,1,0.0,0.0
143,2,1.38,3.71
143,3,59.48,83.32
143,4,172.86,208.46
143,5,847.28,1662.68
143,6,2422.62,2503.54
143,7,570.07,709.45
144,1,0.0,0.0
144,2,1.03,3.34
144,3,57.69,82.29
144,4,169.55,208.78
144,5,834.24,1665.89
144,6,2376.9,2509.62
144,7,557.76,713.47
145,1,0.0,0.0
145,2,2.14,4.26
145,3,90.31,86.18
145,4,386.93,770.08
145,5,3562.21,9031.54
145,6,7012.76,12857.14
145,7,1542.97,2740.1
146,1,0.0,0.0
146,2,4.57,12.97
146,3,78.57,76.6
146,4,207.3,274.9
146,5,815.85,1026.31
146,6,1927.76,2598.89
146,7,393.32,544.68
147,1,0.0,0.0
147,2,0.12,0.58
147,3,16.38,17.89
147,4,90.08,92.24
147,5,240.58,494.61
147,6,844.35,1596.29
147,7,436.12,807.09
148,1,0.0,0.0
148,2,0.12,0.58
148,3,16.65,17.99
148,4,82.12,89.04
148,5,236.81,495.71
148,6,838.42,1598.03
148,7,438.08,806.64
149,1,0.0,0.0
149,2,0.12,0.58
149,3,16.81,18.0
149,4,86.35,93.07
149,5,239.88,494.87
149,6,851.73,1593.3
149,7,443.81,804.59
150,1,0.0,0.0
150,2,4.57,12.97
150,3,78.72,76.53
150,4,207.82,274.61
150,5,834.8,1027.6
150,6,1949.43,2595.21
150,7,394.78,544.14
151,1,0.0,0.0
151,2,0.12,0.58
151,3,16.85,18.0
151,4,89.5,92.63
151,5,239.31,495.07
151,6,845.85,1595.76
151,7,442.92,804.98
152,1,0.0,0.0
152,2,34.19,146.75
152,3,384.41,1588.78
152,4,490.97,1588.44
152,5,882.28,1660.47
152,6,1078.88,1585.21
152,7,201.62,295.78
153,1,0.0,0.0
153,2,4.55,12.97
153,3,78.97,76.37
153,4,208.08,274.45
153,5,833.72,1028.23
153,6,1950.96,2594.43
153,7,394.54,544.25
154,1,0.0,0.0
154,2,4.63,8.83
154,3,95.37,83.67
154,4,258.11,207.57
154,5,653.84,807.75
154,6,836.42,1011.11
154,7,231.21,357.98
155,1,0.0,0.0
155,2,3.97,6.8
155,3,88.46,50.84
155,4,163.76,89.33
155,5,1097.76,1249.43
155,6,2278.65,1897.15
155,7,253.57,211.78
156,1,0.0,0.0
156,2,0.0,0.0
156,3,228.14,437.5
156,4,583.55,888.31
156,5,2324.77,3903.12
156,6,4125.23,4819.53
156,7,654.95,736.49
157,1,0.0,0.0
157,2,12.28,30.38
157,3,192.69,258.46
157,4,283.0,369.1
157,5,746.59,929.41
157,6,1226.16,1393.66
157,7,235.47,326.2
158,1,0.0,0.0
158,2,4.57,12.97
158,3,77.15,76.14
158,4,205.99,275.29
158,5,826.41,1030.26
158,6,1925.38,2598.47
158,7,389.99,544.83
